name,gdp
Afghanistan,561.778746269502
Albania,4146.89625046198
Algeria,3843.75232202304
American Samoa,
Andorra,
Angola,3110.80818263013
Antigua and Barbuda,14353.3788138742
Argentina,12449.2168521177
Armenia,3606.15205715147
Aruba,
Australia,49927.8195094751
Austria,44176.5152160475
Azerbaijan,3876.9364326427
"Bahamas, The",23124.3865532472
Bahrain,22354.1670706869
Bangladesh,1358.7797522498
Barbados,16096.8925879661
Belarus,4989.25461056406
Belgium,41096.1573021536
Belize,4810.56590199317
Benin,789.440410685648
Bermuda,
Bhutan,2804.00022298565
Bolivia,3104.95608914095
Bosnia and Herzegovina,4708.71826065622
Botswana,6788.04274537565
Brazil,8649.94849175062
British Virgin Islands,
Brunei Darussalam,26938.5033823025
Bulgaria,7350.79580089813
Burkina Faso,649.730483655835
Burundi,285.727442064713
Cabo Verde,2997.75267953531
Cambodia,1269.90723818913
Cameroon,1032.64872204454
Canada,42157.9279910146
Caribbean small states,8769.64164930723
Cayman Islands,
Central African Republic,382.213174317687
Chad,664.29565189928
Channel Islands,
Chile,13792.9260543892
China,8123.1808725464
Colombia,5805.60533452459
Comoros,775.080084704756
"Congo, Dem. Rep.",444.505316815516
"Congo, Rep.",1528.24483012457
Costa Rica,11824.6381020004
Cote d'Ivoire,1526.19717484252
Croatia,12090.6665635703
Cuba,
Curacao,
Cyprus,23324.2017353618
Czech Republic,18266.5496886036
Denmark,53417.6642756422
Djibouti,
Dominica,7144.45467277647
Dominican Republic,6722.22353580612
Ecuador,5968.98413848511
"Egypt, Arab Rep.",3514.49009688808
El Salvador,4223.58457943469
Equatorial Guinea,8333.23826311996
Eritrea,
Estonia,17574.6873552714
Ethiopia,706.757754078087
European Union,32058.7735845667
Faroe Islands,
Fiji,5153.35154431659
Finland,43090.2475062997
France,36854.9682804756
French Polynesia,
Gabon,7179.34066115314
"Gambia, The",473.19043627424
Georgia,3853.64990352915
Germany,41936.0585754956
Ghana,1513.46103432745
Gibraltar,
Greece,18103.9693224025
Greenland,
Grenada,9469.21918069658
Guam,
Guatemala,4146.7441286273
Guinea,508.145078427288
Guinea-Bissau,620.214764743552
Guyana,4456.55369735494
Haiti,739.595436253749
Honduras,2361.15761950895
"Hong Kong SAR, China",43681.1405799513
Hungary,12664.8474351203
Iceland,59976.9425653312
India,1709.38792119802
Indonesia,3570.29488811764
"Iran, Islamic Rep.",
Iraq,4609.60069352322
Ireland,61606.482939417
Isle of Man,
Israel,37292.6122172917
Italy,30527.2682030287
Jamaica,4868.24826260746
Japan,38894.4677292018
Jordan,4087.9375167203
Kazakhstan,7510.07720865798
Kenya,1455.35976536469
Kiribati,1449.05823116784
"Korea, Dem. Peopleâ€™s Rep.",
"Korea, Rep.",27538.8061282212
Kosovo,3661.42984742258
Kuwait,
Kyrgyz Republic,1077.0361743348
Lao PDR,2353.15287465084
Latvia,14118.0639067571
Lebanon,7914.0046774839
Lesotho,998.134371557577
Liberia,455.370741357005
Libya,
Liechtenstein,
Lithuania,14879.6802989698
Luxembourg,102831.321482811
"Macao SAR, China",73186.9601431088
"Macedonia, FYR",5237.1476704612
Madagascar,401.318870068995
Malawi,300.794825113129
Malaysia,9502.56839625166
Maldives,8601.63248838154
Mali,780.507110878306
Malta,25058.1706055815
Marshall Islands,3448.53578562545
Mauritania,1077.55613626163
Mauritius,9627.59578522351
Mexico,8201.3062528823
"Micronesia, Fed. Sts.",3068.50777132946
Moldova,1900.20147934803
Monaco,
Mongolia,3686.45169810524
Montenegro,6701.00008024241
Morocco,2832.42977713622
Mozambique,382.069330425644
Myanmar,1275.01760814834
Namibia,4140.46193248801
Nauru,7821.29891769903
Nepal,729.532501133179
Netherlands,45294.7799953866
New Caledonia,
New Zealand,39426.6234987649
Nicaragua,2151.38204656346
Niger,363.226973889882
Nigeria,2177.98516981843
Northern Mariana Islands,
Norway,70812.4774226187
Not classified,
Oman,14982.3579235229
Pakistan,1468.19294647812
Palau,13626.0056736269
Panama,13680.23600692
Papua New Guinea,
Paraguay,4080.20464394436
Peru,6045.6500766247
Philippines,2951.07192903542
Poland,12372.4170564311
Portugal,19813.3082485256
Puerto Rico,
Qatar,59330.8599872525
Romania,9474.13060440536
Russian Federation,8748.36450405452
Rwanda,702.835601585743
Samoa,4027.76137034554
San Marino,
Sao Tome and Principe,1756.0614700482
Saudi Arabia,20028.6482072005
Senegal,958.073737852607
Serbia,5348.29406421381
Seychelles,15075.7194365696
Sierra Leone,496.049463350517
Singapore,52960.7141893889
Sint Maarten (Dutch part),
Slovak Republic,16495.9876837228
Slovenia,21304.5701619503
Solomon Islands,2005.48364332796
Somalia,434.208809668616
South Africa,5273.59387968462
South Asia,1639.71225900516
South Sudan,
Spain,26528.4917900799
Sri Lanka,3835.39481711341
St. Kitts and Nevis,16725.2796474992
St. Lucia,7744.44517263943
St. Martin (French part),
St. Vincent and the Grenadines,7030.05714505765
Sudan,2415.03816212562
Suriname,6484.43273109527
Swaziland,2775.15390848176
Sweden,51599.868867777
Switzerland,78812.6506872985
Syrian Arab Republic,
Tajikistan,795.843864367519
Tanzania,879.193814026315
Thailand,5907.91343151532
Timor-Leste,
Togo,578.461693648613
Tonga,3688.87463594593
Trinidad and Tobago,15377.0988055665
Tunisia,3688.64637468078
Turkey,10787.609339044
Turkmenistan,6389.33414279619
Turks and Caicos Islands,
Tuvalu,3083.61525088619
Uganda,615.308803182525
Ukraine,2185.72803066435
United Arab Emirates,37622.2074575932
United Kingdom,39899.3883948894
United States,57466.7871132348
Upper middle income,7937.28820925585
Uruguay,15220.5660250684
Uzbekistan,2110.64787239513
Vanuatu,2860.56647483229
"Venezuela, RB",
Vietnam,2185.69028246406
Virgin Islands (U.S.),
"Yemen, Rep.",990.334773954632
Zambia,1178.38790501204
Zimbabwe,1008.59733051185
